"demo","k","phase"
"chebyshev_d5",0,0
"chebyshev_d5",1,0
"chebyshev_d5",2,0
"chebyshev_d5",3,0
"chebyshev_d5",4,0
"chebyshev_d5",5,0
"cos_d12",0,0.785398032496067
"cos_d12",1,6.535738594770635e-7
"cos_d12",2,-0.00003923110563253118
"cos_d12",3,0.0021251239687551937
"cos_d12",4,-0.06126172973745625
"cos_d12",5,0.5993028302321344
"cos_d12",6,-0.6963630475916571
"cos_d12",7,0.5993028302321344
"cos_d12",8,-0.06126172973745625
"cos_d12",9,0.0021251239687551937
"cos_d12",10,-0.00003923110563253118
"cos_d12",11,6.535738594770635e-7
"cos_d12",12,0.785398032496067
"sin_d13",0,0.7853981539033557
"sin_d13",1,2.218799721731557e-8
"sin_d13",2,-0.000003691824896456808
"sin_d13",3,0.0002580378297185604
"sin_d13",4,-0.010349952730386303
"sin_d13",5,0.18567292638731203
"sin_d13",6,-0.6548598585125673
"sin_d13",7,-0.6548598585125673
"sin_d13",8,0.18567292638731203
"sin_d13",9,-0.010349952730386303
"sin_d13",10,0.0002580378297185604
"sin_d13",11,-0.000003691824896456808
"sin_d13",12,2.218799721731557e-8
"sin_d13",13,0.7853981539033557
